path,filename,extension,size_bytes,sha256,last_modified,language,probable_stage,purpose,direct_inputs,direct_outputs,referenced_by,calls_or_imports,hard_coded_paths,status,replacement,confidence,notes
01_BULK/01_INITIAL/kero.itp,kero.itp,.itp,466340,d3b8fcfdbb862300636e620710ac5b2236dcc876828693af766842f4bed71f61,2026-05-29T16:07:57,GROMACS ITP,bulk density,; Created by AuToFF,,,00_CHECK_ENVIRONMENT.bat; 00_INPUT/kero.top; 01_BULK/01_INITIAL/topol.top; 01_BULK/03_RUN/topol.top; 01_SCRIPTS/build_graphene_cases.py; 01_SCRIPTS/extract_kerogen_only_from_final.py; 01_SCRIPTS/extract_standard_kerogen_plate.py; 01_SCRIPTS/prepare_bulk.py; 01_SCRIPTS/prepare_raspa2_gcmc.py; 02_GRAPHENE_CASES/RMS_0p000/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p300/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p600/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p900/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/topol.top; 4nm_pore_raspa2_config.json; 8nm_pore_raspa2_config.json; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/kero.top; KEROGEN_ONLY_FINALS/kero.top; README_V32_4NM_PORE_RASPA2_GCMC.md,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/01_INITIAL/kero_ATP.itp,kero_ATP.itp,.itp,3910,9e4250fd9a062de7ceb95ed2233e1dab48bd37d8a925933e27d56053171eb2c5,2026-05-20T16:22:16,GROMACS ITP,bulk density,; Created by AuToFF,,,00_CHECK_ENVIRONMENT.bat; 00_INPUT/PUT_kero_ATP.itp_HERE.txt; 00_INPUT/kero.top; 01_BULK/01_INITIAL/topol.top; 01_BULK/03_RUN/topol.top; 01_SCRIPTS/build_graphene_cases.py; 01_SCRIPTS/extract_kerogen_only_from_final.py; 01_SCRIPTS/extract_standard_kerogen_plate.py; 01_SCRIPTS/prepare_bulk.py; 02_GRAPHENE_CASES/RMS_0p000/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p300/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p600/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/topol.top; 02_GRAPHENE_CASES/RMS_0p900/00_INITIAL/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/STANDARD_KEROGEN_PLATE/topol.top; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/topol.top; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/PUT_kero_ATP.itp_HERE.txt; ILLITE_BELOW_RAW_FINAL_KEROGEN_V31_THICKER_SAFE/00_INPUT_FORCEFIELD_COPY/kero.top; KEROGEN_ONLY_FINALS/kero.top; README_V32_4NM_PORE_RASPA2_GCMC.md,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/01_INITIAL/topol.top,topol.top,.top,391,f8012bac060865651c7b913a67a2ce0bb215234cbda74aae0ed0dc6ce167a8a3,2026-06-26T17:47:45,GROMACS TOP,bulk density,; Created by AuToFF,kero.itp; kero_ATP.itp,kero.itp; kero_ATP.itp,01_BULK/03_RUN/mdout.mdp; 01_SCRIPTS/build_graphene_cases.py; 01_SCRIPTS/extract_standard_kerogen_plate.py; 01_SCRIPTS/prepare_bulk.py; 01_SCRIPTS/run_bulk.py; 01_SCRIPTS/run_wall_case.py; 02_GRAPHENE_CASES/RMS_0p000/02_RUN/mdout.mdp; 02_GRAPHENE_CASES/RMS_0p300/02_RUN/mdout.mdp; 02_GRAPHENE_CASES/RMS_0p600/02_RUN/mdout.mdp; 02_GRAPHENE_CASES/RMS_0p900/02_RUN/mdout.mdp,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/00_em.mdp,00_em.mdp,.mdp,216,d18e0c07744c26f6f7e9ccc85ae516c76c46ff5388d8ee91be763bdfecec9796,2026-06-26T17:51:10,GROMACS MDP,bulk density,integrator = steep,,,01_SCRIPTS/generate_wall_mdps.py; 01_SCRIPTS/run_bulk.py; 01_SCRIPTS/run_wall_case.py,,,UNKNOWN,,0.5,No definitive runtime evidence found in static audit.
01_BULK/02_MDP/01_nvt_01_300K.mdp,01_nvt_01_300K.mdp,.mdp,567,dbfcd562c3e37cd216d6c0cf0ae1c1855404b10fe49e04e697ff178daa936945,2026-06-26T17:51:18,GROMACS MDP,bulk density,integrator = md,,,,,,UNKNOWN,,0.5,No definitive runtime evidence found in static audit.
01_BULK/02_MDP/01_nvt_02_600K.mdp,01_nvt_02_600K.mdp,.mdp,567,0fe77bbb87ff03b679158f9e0f213bb8dfccfc8b7e13fbd62c014836f2459aba,2026-06-26T17:56:17,GROMACS MDP,bulk density,integrator = md,,,,,,UNKNOWN,,0.5,No definitive runtime evidence found in static audit.
01_BULK/02_MDP/01_nvt_03_900K.mdp,01_nvt_03_900K.mdp,.mdp,568,90640a4f25f2f9c57e3a5d37c35447299ab29c34184059353929ce7d05ee4af5,2026-06-26T18:02:32,GROMACS MDP,bulk density,integrator = md,,,,,,UNKNOWN,,0.5,No definitive runtime evidence found in static audit.
01_BULK/02_MDP/02_npt_compress_001_100MPa.mdp,02_npt_compress_001_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T18:37:39,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_002_100MPa.mdp,02_npt_compress_002_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T18:51:49,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_003_100MPa.mdp,02_npt_compress_003_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T19:04:24,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_004_100MPa.mdp,02_npt_compress_004_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T19:14:59,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_005_100MPa.mdp,02_npt_compress_005_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T19:25:42,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_006_100MPa.mdp,02_npt_compress_006_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T19:36:17,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_007_100MPa.mdp,02_npt_compress_007_100MPa.mdp,.mdp,687,4febe1c517f03ad61b7166195829d734f3cda12a479eea920fd7e01bbf1bef7e,2026-06-26T19:45:40,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_008_60MPa.mdp,02_npt_compress_008_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T19:54:45,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_009_60MPa.mdp,02_npt_compress_009_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T20:04:20,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_010_60MPa.mdp,02_npt_compress_010_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T20:13:21,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_011_60MPa.mdp,02_npt_compress_011_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T20:21:37,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_012_60MPa.mdp,02_npt_compress_012_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T20:30:07,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_013_60MPa.mdp,02_npt_compress_013_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T20:38:24,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_014_60MPa.mdp,02_npt_compress_014_60MPa.mdp,.mdp,686,c25451845d5ccf6d5f503c93691e39c47643c5ed3dc2632cb2146e7417db15c6,2026-06-26T20:46:10,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_015_40MPa.mdp,02_npt_compress_015_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T20:54:34,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_016_40MPa.mdp,02_npt_compress_016_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:03:16,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_017_40MPa.mdp,02_npt_compress_017_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:11:45,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_018_40MPa.mdp,02_npt_compress_018_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:19:27,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_019_40MPa.mdp,02_npt_compress_019_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:27:33,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_020_40MPa.mdp,02_npt_compress_020_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:35:08,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_021_40MPa.mdp,02_npt_compress_021_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:42:40,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_022_40MPa.mdp,02_npt_compress_022_40MPa.mdp,.mdp,686,20e34363ba16f37d6b4c8797bf63acec3d73515101a82b3ddab4f37bc2406fb1,2026-06-26T21:50:54,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_023_25MPa.mdp,02_npt_compress_023_25MPa.mdp,.mdp,686,4d260a7973eb9277752f5c6cca4c1e4cb61f9fb2c013e8fb106107a598458c80,2026-06-26T21:59:18,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_024_25MPa.mdp,02_npt_compress_024_25MPa.mdp,.mdp,686,4d260a7973eb9277752f5c6cca4c1e4cb61f9fb2c013e8fb106107a598458c80,2026-06-26T22:06:33,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_025_25MPa.mdp,02_npt_compress_025_25MPa.mdp,.mdp,686,4d260a7973eb9277752f5c6cca4c1e4cb61f9fb2c013e8fb106107a598458c80,2026-06-26T22:14:55,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_026_25MPa.mdp,02_npt_compress_026_25MPa.mdp,.mdp,686,4d260a7973eb9277752f5c6cca4c1e4cb61f9fb2c013e8fb106107a598458c80,2026-06-26T22:22:20,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_027_25MPa.mdp,02_npt_compress_027_25MPa.mdp,.mdp,686,4d260a7973eb9277752f5c6cca4c1e4cb61f9fb2c013e8fb106107a598458c80,2026-06-26T22:30:04,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_028_25MPa.mdp,02_npt_compress_028_25MPa.mdp,.mdp,686,4d260a7973eb9277752f5c6cca4c1e4cb61f9fb2c013e8fb106107a598458c80,2026-06-26T22:37:23,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_029_15MPa.mdp,02_npt_compress_029_15MPa.mdp,.mdp,686,ee90311ebca138631cd83f6ad8062ea2581ca71b96de6f8a297febaba9684c6a,2026-06-26T22:44:38,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_030_15MPa.mdp,02_npt_compress_030_15MPa.mdp,.mdp,686,ee90311ebca138631cd83f6ad8062ea2581ca71b96de6f8a297febaba9684c6a,2026-06-26T22:52:57,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_031_15MPa.mdp,02_npt_compress_031_15MPa.mdp,.mdp,686,ee90311ebca138631cd83f6ad8062ea2581ca71b96de6f8a297febaba9684c6a,2026-06-26T23:00:03,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_032_15MPa.mdp,02_npt_compress_032_15MPa.mdp,.mdp,686,ee90311ebca138631cd83f6ad8062ea2581ca71b96de6f8a297febaba9684c6a,2026-06-26T23:07:26,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_033_15MPa.mdp,02_npt_compress_033_15MPa.mdp,.mdp,686,ee90311ebca138631cd83f6ad8062ea2581ca71b96de6f8a297febaba9684c6a,2026-06-26T23:15:10,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_034_10MPa.mdp,02_npt_compress_034_10MPa.mdp,.mdp,686,7d3e6dbacd576a47b2632d13bcff11b868b126d704d4bc7f417d28e49731d1c8,2026-06-26T23:23:11,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_035_10MPa.mdp,02_npt_compress_035_10MPa.mdp,.mdp,686,7d3e6dbacd576a47b2632d13bcff11b868b126d704d4bc7f417d28e49731d1c8,2026-06-26T23:31:26,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_036_10MPa.mdp,02_npt_compress_036_10MPa.mdp,.mdp,686,7d3e6dbacd576a47b2632d13bcff11b868b126d704d4bc7f417d28e49731d1c8,2026-06-26T23:39:26,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_037_10MPa.mdp,02_npt_compress_037_10MPa.mdp,.mdp,686,7d3e6dbacd576a47b2632d13bcff11b868b126d704d4bc7f417d28e49731d1c8,2026-06-26T23:47:25,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_038_5MPa.mdp,02_npt_compress_038_5MPa.mdp,.mdp,685,0f2f2ecc305a0ab22cd6f752d5ef3f184fa4b7be93fbe0df79fa21f2f3a055ad,2026-06-26T23:55:21,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_039_5MPa.mdp,02_npt_compress_039_5MPa.mdp,.mdp,685,0f2f2ecc305a0ab22cd6f752d5ef3f184fa4b7be93fbe0df79fa21f2f3a055ad,2026-06-27T00:03:17,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
01_BULK/02_MDP/02_npt_compress_040_5MPa.mdp,02_npt_compress_040_5MPa.mdp,.mdp,685,0f2f2ecc305a0ab22cd6f752d5ef3f184fa4b7be93fbe0df79fa21f2f3a055ad,2026-06-27T00:11:17,GROMACS MDP,bulk density,integrator = md,,,,,,DUPLICATE,,0.95,Identical SHA256 to another code/config file.
